name,description,specifications,categoryID,price,brandID,image
"Intel Core i9-13900K","Flagship desktop processor","24 cores, 5.8GHz max boost, 36MB cache",1,599.99,1,"/placeholder.svg?height=300&width=300"
"AMD Ryzen 9 7950X","High-end desktop processor","16 cores, 32 threads, 5.7GHz boost",1,699.99,3,"/placeholder.svg?height=300&width=300"
"Intel Core i7-13700K","Performance processor","16 cores, 5.4GHz max boost",1,419.99,1,"/placeholder.svg?height=300&width=300"
"AMD Ryzen 7 7700X","Gaming processor","8 cores, 16 threads, 5.4GHz boost",1,349.99,3,"/placeholder.svg?height=300&width=300"
"Intel Core i5-13600K","Mid-range processor","14 cores, 5.1GHz max boost",1,319.99,1,"/placeholder.svg?height=300&width=300"
"AMD Ryzen 5 7600X","Budget gaming processor","6 cores, 12 threads, 5.3GHz boost",1,299.99,3,"/placeholder.svg?height=300&width=300"

"NVIDIA RTX 4090","Flagship graphics card","24GB GDDR6X, 16384 CUDA cores",2,1599.99,2,"/placeholder.svg?height=300&width=300"
"AMD RX 7900 XTX","High-end graphics card","24GB GDDR6, 96 compute units",2,999.99,3,"/placeholder.svg?height=300&width=300"
"NVIDIA RTX 4080","Premium graphics card","16GB GDDR6X, 9728 CUDA cores",2,1199.99,2,"/placeholder.svg?height=300&width=300"
"AMD RX 7800 XT","Mid-range graphics card","16GB GDDR6, 60 compute units",2,499.99,3,"/placeholder.svg?height=300&width=300"
"NVIDIA RTX 4070","Gaming graphics card","12GB GDDR6X, 5888 CUDA cores",2,599.99,2,"/placeholder.svg?height=300&width=300"
"AMD RX 7600","Budget graphics card","8GB GDDR6, 32 compute units",2,299.99,3,"/placeholder.svg?height=300&width=300"

"ASUS ROG Maximus Z790","Premium Intel motherboard","ATX, DDR5, PCIe 5.0, WiFi 6E",3,629.99,1,"/placeholder.svg?height=300&width=300"
"MSI MEG X670E ACE","High-end AMD motherboard","ATX, DDR5, PCIe 5.0, WiFi 6E",3,699.99,2,"/placeholder.svg?height=300&width=300"
"GIGABYTE Z790 AORUS","Gaming Intel motherboard","ATX, DDR5, PCIe 5.0, WiFi 6E",3,449.99,3,"/placeholder.svg?height=300&width=300"
"ASUS TUF B650-PLUS","Mid-range AMD motherboard","ATX, DDR5, PCIe 4.0, WiFi 6",3,219.99,1,"/placeholder.svg?height=300&width=300"
"MSI PRO Z690-A","Budget Intel motherboard","ATX, DDR4, PCIe 5.0",3,169.99,2,"/placeholder.svg?height=300&width=300"
"GIGABYTE B650M DS3H","Entry AMD motherboard","mATX, DDR5, PCIe 4.0",3,129.99,3,"/placeholder.svg?height=300&width=300"

"G.Skill Trident Z5 RGB","Premium DDR5","32GB (2x16GB) DDR5-6400 CL32",4,289.99,1,"/placeholder.svg?height=300&width=300"
"Corsair Dominator","High-end DDR5","32GB (2x16GB) DDR5-6000 CL36",4,259.99,2,"/placeholder.svg?height=300&width=300"
"Kingston Fury Beast","Gaming DDR5","32GB (2x16GB) DDR5-5600 CL36",4,219.99,3,"/placeholder.svg?height=300&width=300"
"Crucial DDR5","Value DDR5","32GB (2x16GB) DDR5-4800 CL40",4,159.99,4,"/placeholder.svg?height=300&width=300"
"G.Skill Ripjaws V","Gaming DDR4","32GB (2x16GB) DDR4-3600 CL16",4,129.99,1,"/placeholder.svg?height=300&width=300"
"Corsair Vengeance LPX","Basic DDR4","16GB (2x8GB) DDR4-3200 CL16",4,69.99,2,"/placeholder.svg?height=300&width=300"


"Samsung 990 PRO","Premium NVMe SSD","2TB PCIe 4.0, 7450/6900 MB/s",5,179.99,1,"/placeholder.svg?height=300&width=300"
"WD Black SN850X","Gaming NVMe SSD","2TB PCIe 4.0, 7300/6600 MB/s",5,189.99,2,"/placeholder.svg?height=300&width=300"
"Crucial P5 Plus","Mid-range NVMe","1TB PCIe 4.0, 6600/5000 MB/s",5,89.99,3,"/placeholder.svg?height=300&width=300"
"Samsung 870 EVO","SATA SSD","1TB SATA III, 560/530 MB/s",5,79.99,1,"/placeholder.svg?height=300&width=300"
"Seagate Barracuda","HDD Storage","2TB 7200RPM SATA III",5,49.99,4,"/placeholder.svg?height=300&width=300"
"WD Blue","Basic HDD","1TB 7200RPM SATA III",5,39.99,2,"/placeholder.svg?height=300&width=300"


"Corsair HX1500i","Premium PSU","1500W 80+ Platinum, Full Modular",6,349.99,1,"/placeholder.svg?height=300&width=300"
"EVGA SuperNOVA 1000","High-end PSU","1000W 80+ Gold, Full Modular",6,199.99,2,"/placeholder.svg?height=300&width=300"
"Seasonic Focus GX","Gaming PSU","850W 80+ Gold, Full Modular",6,149.99,3,"/placeholder.svg?height=300&width=300"
"Corsair RM750x","Mid-range PSU","750W 80+ Gold, Full Modular",6,129.99,4,"/placeholder.svg?height=300&width=300"
"EVGA 600 BQ","Budget PSU","600W 80+ Bronze, Semi Modular",6,64.99,5,"/placeholder.svg?height=300&width=300"
"Corsair CV550","Basic PSU","550W 80+ Bronze, Non Modular",6,49.99,6,"/placeholder.svg?height=300&width=300"

"Lian Li O11 Dynamic","Premium Case","Full Tower, Tempered Glass",7,159.99,10,"/placeholder.svg?height=300&width=300"
"NZXT H510 Flow","Mid Tower Case","ATX, Mesh Front Panel",7,89.99,11,"/placeholder.svg?height=300&width=300"
